id	area	capability	sources	mock_status	mock_observation	preserve_at	acceptance
APP-01	App	Projekt neu, öffnen, speichern, speichern unter	MainMenu.swift;VideoProject.swift;ProjectWorkingCopy.swift	simulated	Projektmenü: Neu, Öffnen, Sichern, Kopie; Sitzungsstand wiederherstellbar. Keine echten Dokumentdateien.	Native Datei-Menüs und Startfenster	Bestehendes Projekt öffnen, ändern, sichern und als Kopie sichern; Medienbindungen und Recovery erhalten.
APP-02	App	Letzte Projekte, Finder, aus Liste entfernen, Projekt löschen	HomeView.swift;ProjectCard.swift;ProjectRegistry.swift	simulated	Projektmenü > Letzte Projekte, Verlauf entfernen; Dateiort im Medien-Inspector. Native Finder-/Papierkorboperationen bleiben Systemadapter.	Vorhandenes Startfenster	Aus Liste entfernen löscht keine Projektdatei; Löschen bleibt ausdrücklich bestätigt.
APP-03	App	Projektformat, Seitenverhältnis, Auflösung und FPS	ProjectCockpitView.swift;EditorViewModel+ProjectSettings.swift;ProjectSettingsMismatchView.swift	simulated	Projektmenü > Projekteinstellungen: Name, Format, Auflösung, FPS gemeinsam in Viewer, Timeline und Export.	Projekteinstellungen; importbezogene Format-Rückfrage	Hochkantprojekt und anderer FPS-Wert bleiben durch Viewer, Timeline und Export konsistent.
APP-04	App	Workspace-Wechsel ohne Pipeline-Abschluss	EditorViewModel.swift@allowsTimelineEditChrome;EditorView.swift	simulated	Schnitt, Postproduction und Export frei erreichbar; leeres Generic-Projekt mit Fremdmedien bis zur Ausgabe geprüft.	Medien/Produktion/Schnitt/Postproduction/Export als getrennte Arbeitsbereiche; keine zusätzlichen obligatorischen Generierungs-Gates	Importierter Film lässt sich ohne Storyboard, generierte Takes oder Pipeline-Freigabe schneiden und exportieren.
APP-05	App	Sidebar und Inspector unabhängig, Splitter, Zustandswiederherstellung	EditorView.swift;TitleBarView.swift;WindowGeometry.swift	simulated	Unabhängige Sidebar-Icons, Splitter und gespeicherter Layoutzustand; 320–1440 px geprüft.	Gemeinsame Titelleiste und native Split-Controller	Jeder Schalter ändert nur sein Panel; Projektdaten bleiben unverändert.
APP-06	App	Panel maximieren, Theater, Vollbild, Layout-Presets	MainMenu.swift;EditorView.swift	simulated	Projekt > Fenster & Ansichten, Viewer maximieren, Vollbild, zwei Layouts. Browser-Vollbild hängt von Host-Erlaubnis ab.	Native Menü-/Tastaturaktionen; dezente lokale Viewer-Aktion	Theater/Vollbild verlassen stellt Layout, Auswahl und Wiedergabekontext wieder her; kein globales Ansichtsdropdown ergänzen.
APP-07	App	Undo/Redo, Clipboard und Tastaturbefehle	MainMenu.swift;EditorWindowController.swift;EditorViewModel+Clipboard.swift	simulated	Undo/Redo, Clip-Clipboard, Duplizieren, Mehrfachauswahl, Löschen und Tastatur im Schnitt. Kein nativer macOS-Responder-Test.	Native Menüs/Responder, Timeline und Formulare	Text-Undo und Timeline-Undo nicht verwechseln; Command-X/C/V/A und Mehrfachauswahl behalten ihre Wirkung.
APP-08	App	Hilfe, Tutorial, Shortcuts, Feedback, Updates und Diagnose	HelpView.swift;ShortcutsPane.swift;FeedbackView.swift;UpdateOverlay.swift;TourOverlay.swift;HangDiagnosticUI.swift	simulated	Projekt > Hilfe & Tastatur: Einführung, lokaler Feedbackentwurf, Update-Simulation. Kein Versand und kein echter Updater.	Native Hilfe-/App-Menüs und vorhandene Fenster	Alle Einstiegspunkte erreichbar lassen; Feedback/Screenshot nur mit ausdrücklicher Nutzereingabe senden.
APP-09	App	Generierungsaktivität und Kostenverlauf	ProjectActivityView.swift;EditorViewModel+Cost.swift	simulated	Statusleiste > Aufträge und Projekt > Aufträge & Entscheidungen: Revisions-/Zeit-/Ergebnisverlauf.	Projektaktivität, vom Budget-/Statusbereich erreichbar	Modell, Kosten, Zeitpunkt und Ergebnis eines früheren Auftrags wiederfinden.
APP-10	App	Gemeinsame native Controls, Theme, Fokus und deaktivierte Zustände	AppTheme.swift;DesignSystem.swift;NativeChoicePicker.swift;CapsuleButton.swift	simulated	Gemeinsame dunkle Controls, Fokus, deutlich deaktivierte Aktionen, Pack-Flächen. HTML ist kein Ersatz für native AppTheme-Primitives.	Bestehende gemeinsame UI-Komponenten und AppTheme	Deaktivierte Controls eindeutig, Tastaturfokus sichtbar, Pack-Akzent und Textskalierung konsistent; keine neue parallele Komponentenbibliothek.
