id	area	capability	sources	mock_status	mock_observation	preserve_at	acceptance
APP-01	App	Projekt neu, öffnen, speichern, speichern unter	MainMenu.swift;VideoProject.swift;ProjectWorkingCopy.swift	native-shell	Dummy hat nur simulierten Projektstart; keine echten Dokumentoperationen	Native Datei-Menüs und Startfenster	Bestehendes Projekt öffnen, ändern, sichern und als Kopie sichern; Medienbindungen und Recovery erhalten.
APP-02	App	Letzte Projekte, Finder, aus Liste entfernen, Projekt löschen	HomeView.swift;ProjectCard.swift;ProjectRegistry.swift	native-shell	Startfenster liegt außerhalb der Arbeitsflächen-Demo	Vorhandenes Startfenster	Aus Liste entfernen löscht keine Projektdatei; Löschen bleibt ausdrücklich bestätigt.
APP-03	App	Projektformat, Seitenverhältnis, Auflösung und FPS	ProjectCockpitView.swift;EditorViewModel+ProjectSettings.swift;ProjectSettingsMismatchView.swift	missing	Dummy-NLE und Finish sind fest auf 16:9 und 24 fps eingestellt	Projekteinstellungen; importbezogene Format-Rückfrage	Hochkantprojekt und anderer FPS-Wert bleiben durch Viewer, Timeline und Export konsistent.
APP-04	App	Workspace-Wechsel ohne Pipeline-Abschluss	EditorViewModel.swift@allowsTimelineEditChrome;EditorView.swift	regression	Dummy koppelt Bearbeiten und Export an seinen erfundenen aktuellen Edit/Finish-Schritt	Medien/Produktion/Schnitt/Postproduction/Export als getrennte Arbeitsbereiche; keine zusätzlichen obligatorischen Generierungs-Gates	Importierter Film lässt sich ohne Storyboard, generierte Takes oder Pipeline-Freigabe schneiden und exportieren.
APP-05	App	Sidebar und Inspector unabhängig, Splitter, Zustandswiederherstellung	EditorView.swift;TitleBarView.swift;WindowGeometry.swift	illustrated	Direkte Icons und verstellbare Breiten simuliert	Gemeinsame Titelleiste und native Split-Controller	Jeder Schalter ändert nur sein Panel; Projektdaten bleiben unverändert.
APP-06	App	Panel maximieren, Theater, Vollbild, Layout-Presets	MainMenu.swift;EditorView.swift	missing	Direkte Sidebar-Icons ersetzen diese zusätzlichen Ansichten nicht	Native Menü-/Tastaturaktionen; dezente lokale Viewer-Aktion	Theater/Vollbild verlassen stellt Layout, Auswahl und Wiedergabekontext wieder her; kein globales Ansichtsdropdown ergänzen.
APP-07	App	Undo/Redo, Clipboard und Tastaturbefehle	MainMenu.swift;EditorWindowController.swift;EditorViewModel+Clipboard.swift	partial	Dummy hat begrenztes Undo und einige Shortcuts, keinen vollständigen nativen Responder-Pfad	Native Menüs/Responder, Timeline und Formulare	Text-Undo und Timeline-Undo nicht verwechseln; Command-X/C/V/A und Mehrfachauswahl behalten ihre Wirkung.
APP-08	App	Hilfe, Tutorial, Shortcuts, Feedback, Updates und Diagnose	HelpView.swift;ShortcutsPane.swift;FeedbackView.swift;UpdateOverlay.swift;TourOverlay.swift;HangDiagnosticUI.swift	native-shell	Nicht Teil des Arbeitsflächen-Dummys; bisher nur pauschal erwähnt	Native Hilfe-/App-Menüs und vorhandene Fenster	Alle Einstiegspunkte erreichbar lassen; Feedback/Screenshot nur mit ausdrücklicher Nutzereingabe senden.
APP-09	App	Generierungsaktivität und Kostenverlauf	ProjectActivityView.swift;EditorViewModel+Cost.swift	missing	Budget-Gesamtsumme ersetzt keinen Auftragsverlauf	Projektaktivität, vom Budget-/Statusbereich erreichbar	Modell, Kosten, Zeitpunkt und Ergebnis eines früheren Auftrags wiederfinden.
APP-10	App	Gemeinsame native Controls, Theme, Fokus und deaktivierte Zustände	AppTheme.swift;DesignSystem.swift;NativeChoicePicker.swift;CapsuleButton.swift	partial	HTML bildet einen Teil des visuellen Systems nach, nicht alle nativen Zustände	Bestehende gemeinsame UI-Komponenten und AppTheme	Deaktivierte Controls eindeutig, Tastaturfokus sichtbar, Pack-Akzent und Textskalierung konsistent; keine neue parallele Komponentenbibliothek.
MED-01	Medien	Import verschiedener Dateitypen, Ordnerimport, Fortschritt, Abbruch	MediaImportFlow.swift;MediaImportProgressBanner.swift;EditorViewModel+MediaLibrary.swift;ClipType.swift	partial	Simuliert drei Beispielimporte, nicht den echten Datei-/Ordnerimport	Medien > Import; kompakte Picker nutzen denselben Bestand	Video, Audio, Bild, Lottie und Dokumente samt lesbarem Originalnamen übernehmen; Abbruch verständlich anzeigen.
MED-02	Medien	Bibliotheksordner, Unterordner, Umbenennen, Löschen, Verschieben	EditorViewModel+Folders.swift;FolderTileView.swift;MediaTab+Grids.swift	partial	Ordner und Verschieben vorhanden; nicht alle Löschfälle	Medien > Ordnerbaum und Kontextmenüs	Mehrere verschachtelte Ordner verschieben/löschen mit Undo; Zyklen verhindern.
MED-03	Medien	Asset umbenennen/löschen, Finder, Pfade kopieren	AssetThumbnailView.swift;EditorViewModel+MediaLibrary.swift	missing	Dateiaktionen im Dummy nicht vollständig vorhanden	Medien > Datei-Kontextmenü und Inspector	Originalname, Anzeigetitel und Speicherpfad auseinanderhalten; verwendete Medien und Undo korrekt behandeln.
MED-04	Medien	Mehrfach-, Bereichs- und Marquee-Auswahl	MediaTab.swift;MediaTab+Grids.swift	partial	Klick-/Bereichsauswahl vorhanden, keine Marquee-Auswahl	Großer Medienbrowser	Ausgewählte Gruppe per Ziehen verschieben, Selektion beim Filtern nachvollziehbar halten.
MED-05	Medien	Typfilter, KI-Filter, Sortierung, Thumbnailgröße, Drag-and-drop	MediaTab.swift;MediaTab+Drag.swift;MediaPanelDropArea.swift	partial	Wesentliche Browserinteraktionen simuliert, keine echte Import-Drop-Hierarchie	Medien; Picker nur Auswahl/Bindung	Ordner-Drop und innerer Asset-Drop bleiben gleichzeitig erreichbar; nativen AppKit-Drop-Host erhalten.
MED-06	Medien	Visuelle Inhaltssuche, Moments, zeitgebundene Segmente	MediaTab+Search.swift;VisualSearch.swift;VisualIndexer.swift	missing	Dummy-Suche durchsucht nur Dateinamen	Medien > Suchergebnisse; kompakte Treffer im Picker	Moment an Fundstelle ansehen und exakt den gefundenen Bereich in die Timeline ziehen.
MED-07	Medien	Sprach-/Transkriptsuche, Spoken-Treffer und Segmente	MediaTab+Search.swift;TranscriptSearch.swift;Transcription.swift	missing	Keine Transkripttreffer	Medien > Suche und Quellvorschau	Texttreffer springt zur richtigen Quellzeit; Bereichs-Drag überträgt Anfang/Ende.
MED-08	Medien	Indexzustände, Download, Fehler/Retry und Speicherverwaltung	MediaTab+IndexStatus.swift;SearchIndexCoordinator.swift;StoragePane.swift	missing	Keine Indexzustände	Medien-Suchstatus; Einstellungen > Speicher	Nicht indexiert, in Arbeit und fehlgeschlagen unterscheiden; Index löschen entfernt keine Medien.
MED-09	Medien	Offline-Medien und Relink Datei/Ordner	EditorViewModel+Relink.swift;PreviewContainerView.swift@offlinePreview;AssetThumbnailView.swift	missing	Keine echte Offline-Situation simuliert	Medien-Kontextmenü und Viewer-Fehleransicht	Einzelne Datei oder Ordner neu verknüpfen; Asset-ID und Timeline-Instanzen bleiben erhalten.
MED-10	Medien	Metadaten, Generierungsherkunft und klickbare Referenzen	InspectorView.swift@assetDetailsContent;GenerationReferencesStrip.swift;MediaAsset.swift	partial	Herkunft freier Demo-Generierungen vorhanden; native Provenienz nur teilweise	Medien > Inspector; Quellen-Inspector	Modell, kompilierten Prompt, Abmessungen, Quelldatei und Referenz-Assets aus gespeicherten Daten lesen.
MED-11	Medien	Medienbrowser, Quellvorschau und Reveal derselben Asset-ID	EditorViewModel+PreviewTabs.swift;MediaTab.swift	illustrated	Gemeinsamer Bestand und In-Medien-zeigen simuliert	Medien und kompakte Quellen-Picker	Workspace-Wechsel erzeugt keine zweite Bibliothek und verändert keine Pipeline-Zuweisung.
MED-12	Medien	Texte als Quelldokumente, Bilder und Lottie als Timeline-Medien	ClipType.swift;LottieVideoGenerator.swift;ImageVideoGenerator.swift	regression	Texte korrekt getrennt; NLE-Insert erlaubt nur Demo-Video-Takes, keine freien Bilder/Lottie	Medien > alle unterstützten Typen; NLE-Drop nach isPlaceable	Dokumente bleiben nicht platzierbar; Bilder, Lottie, freie Video- und Audiomedien werden nicht ausgesperrt.
MED-13	Medien	Medien mit Agent organisieren	MediaTab.swift@organizeWithAgent;ToolExecutor+Folders.swift	adapter	Alter Einstieg erzeugt Chat; keine gleichwertige strukturierte Organisation im Dummy	Medien > Organisieren > prüfbarer Änderungsplan	Ordner-/Namensvorschlag ansehen, gezielt annehmen, über bestehende Mutationen mit Undo anwenden.
GEN-01	Generierung	Manuelle Bild-, Video- und Audiogenerierung	GenerationView.swift;GenerationRequest.swift	partial	Dialog mit drei Demo-Typen, Prompt, Modell und Kosten	Medien > Generieren; kontextgebundene Aufträge im Inspector	Intention immer kompilieren; keine Rohprompt-Abkürzung zur Provider-API.
GEN-02	Generierung	Ausführbare Provider-/Modellbindungen und modellabhängige Optionen	ModelCatalog.swift;ModelPreferences.swift;GenerationView.swift@isUsable	partial	Statischer Demo-Katalog bildet nicht alle echten Fähigkeiten ab	Gemeinsame native Modellwahl in jedem Generierungsdialog	Nur aktivierte ausführbare Bindungen zeigen; Modellwechsel entfernt inkompatible Eingaben nachvollziehbar.
GEN-03	Generierung	First/Last Frames und Referenzmodus mit Bild/Video/Audio-Slots	GenerationView.swift@framesRefsMode;GenerationPackageInputs.swift	missing	Dummy zeigt Startbildpflicht, nicht die vollständigen Eingabemodi	Generierungsdialog > modellabhängige Quellen	Exklusive Frame-/Referenzmodi, Rollen und Limits beibehalten; keine heimlichen Zusatzreferenzen.
GEN-04	Generierung	Quellvideo, Motion-Referenz, getrimmte Quelle und Referenz-Tags	GenerationView.swift@sourceVideo;AIEditTab.swift@trimmedSourceIfEnabled;VideoTrimExtractor.swift	missing	Quellbezogene Bearbeitung durch Takes-Link ersetzt	Schnitt/Medien > KI-Bearbeitung	Quellvideo und optionaler Trim sind explizit; neue Ausgabe vs Ersetzen ausdrücklich wählen.
GEN-05	Generierung	Audio-Optionen: Stimme, Lyrics, Stil, Instrumental und Dauer	GenerationView.swift@selectedVoice;AudioModelConfig.swift	partial	Audio-Demo bietet nur einen vereinfachten SFX-Weg	Gemeinsamer Audio-Generierungsdialog	Optionen nur bei passendem ausführbarem Modell zeigen und an denselben Auftrag binden.
GEN-06	Generierung	Vorbereiteter Auftrag, Paket prüfen, kopieren, Kosten ablehnen/freigeben	SpendApprovalCard.swift;GenerationPackageReviewView.swift;GenerationRequest.swift;CostGuard.swift	partial	Einzelauftrag mit Demo-Kosten; keine vollständigen nativen Paketdetails	Interaktionsbereich des jeweiligen Objekts	Exakte Referenzen und kompilierten Auftrag ansehen; Änderung erfordert neue Vorbereitung/Freigabe. Kompatible vorherige Provider-/Modellwahl beibehalten; Auswahl aus validiertem Snapshot und erneute Prüfung vor Ausgabe.
GEN-07	Generierung	Batch vorbereiten, einzelne Einträge entfernen, einmal freigeben	GenerationBatchCard.swift;GenerationBatchCoordinator.swift;GenerationBatchAuthorization.swift	missing	Shots simuliert nacheinander; keine gleichwertige Batch-Reviewfläche	Produktion/Medien > Aufträge	Jedes Element und Gesamtkosten prüfbar; Freigabe nicht zwischen Revisionen wiederverwenden.
GEN-08	Generierung	Durable Jobs, fertige Ergebnisse, Rest abbrechen, Status fortsetzen	GenerationBatchCoordinator.swift;GenerationBatchStore.swift;GenerationBatchCard.swift	partial	Timer/Stopp simuliert; Restart-/Reconnect- und unklare Providerzustände fehlen	Auftragsliste im Interaktionsbereich, Projektaktivität	Nach Neustart bekannte Jobs weiter abfragen statt neu kostenpflichtig einzureichen; fehlende lokale Autorität anzeigen.
GEN-09	Generierung	Rerun mit Herkunft, Upscale und Quelle gezielt ersetzen	AIEditTab.swift;EditSubmitter.swift;EditorViewModel+AIEdit.swift	missing	AI-Edit-Tab hat nur einen Takes-Verweis	Medien-/Clip-Inspector > KI-Bearbeitung	Quelle, Modell, Kosten und Ersatzumfang zeigen; Original und Undo erhalten.
GEN-10	Generierung	Video-to-Music und Video-to-SFX, Platzierung auf Timeline	VideoToAudioEditKind.swift;AIEditTab.swift@videoAudioActionRow;MusicGenerationSubmission.swift	missing	Nicht im Dummy	Schnitt > Ton; Clip-Inspector > KI-Ton	Passendes Modell, Quellbereich und Zielspur bestätigen; nicht den Projekttrack heimlich ersetzen.
GEN-11	Generierung	Musik aus Bild/Video oder Text, Mood-Direction	MusicTab.swift;MusicGenerationSubmission.swift	missing	Eigenständige native Musikfläche fehlt	Schnitt > Ton erzeugen; Ergebnis in Medien	Vorhandenen Musikweg erhalten; chatgebundene Richtung als strukturierten Vorschlag adaptieren.
